#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.79e+01    2.08e+01      4.58e-01    4.61e-01      5.65e-01    6.56e-01    1.0e-03
    100      1.35e+01    1.72e+01      2.79e+00    2.79e+00      4.25e-01    5.44e-01    1.0e-03
    200      9.35e+00    9.00e+00      1.72e+00    1.72e+00      2.95e-01    2.84e-01    1.0e-03
    300      9.95e+00    5.57e+00      5.83e-01    5.77e-01      3.15e-01    1.76e-01    1.0e-03
    400      9.65e+00    6.32e+00      1.37e-01    1.47e-01      3.05e-01    2.00e-01    1.0e-03
    500      7.36e+00    5.63e+00      1.38e-01    1.37e-01      2.33e-01    1.78e-01    1.0e-03
    600      3.81e+00    4.12e+00      1.27e-02    1.26e-02      1.20e-01    1.30e-01    1.0e-03
    700      1.01e+01    8.65e+00      5.14e-02    4.87e-02      3.21e-01    2.73e-01    1.0e-03
    800      4.97e+00    8.20e+00      1.49e-02    1.07e-02      1.57e-01    2.59e-01    1.0e-03
    900      4.11e+00    4.30e+00      2.46e-02    2.44e-02      1.30e-01    1.36e-01    1.0e-03
   1000      5.58e+00    8.87e+00      8.69e-02    9.50e-02      1.76e-01    2.81e-01    1.0e-03
   1100      3.89e+00    8.21e+00      3.65e-01    3.65e-01      1.23e-01    2.60e-01    1.0e-03
   1200      4.40e+00    3.93e+00      3.78e-02    3.85e-02      1.39e-01    1.24e-01    1.0e-03
   1300      5.67e+00    5.11e+00      5.45e-01    5.45e-01      1.79e-01    1.61e-01    1.0e-03
   1400      4.60e+00    2.85e+00      7.71e-02    7.73e-02      1.46e-01    9.00e-02    1.0e-03
   1500      3.91e+00    4.35e+00      3.74e-02    3.91e-02      1.24e-01    1.38e-01    1.0e-03
   1600      6.41e+00    8.03e+00      2.43e-01    2.48e-01      2.03e-01    2.54e-01    1.0e-03
   1700      8.97e+00    8.06e+00      3.30e-01    3.29e-01      2.84e-01    2.55e-01    1.0e-03
   1800      5.83e+00    4.42e+00      3.82e-01    3.78e-01      1.84e-01    1.40e-01    1.0e-03
   1900      4.04e+00    1.90e+00      3.15e-02    3.28e-02      1.28e-01    6.01e-02    1.0e-03
   2000      4.90e+00    5.85e+00      2.29e-01    2.33e-01      1.55e-01    1.85e-01    1.0e-03
   2100      4.09e+00    6.23e+00      1.49e-01    1.52e-01      1.29e-01    1.97e-01    1.0e-03
   2200      4.07e+00    6.57e+00      8.07e-02    7.96e-02      1.29e-01    2.08e-01    1.0e-03
   2300      7.22e+00    6.76e+00      4.42e-02    4.56e-02      2.28e-01    2.14e-01    1.0e-03
   2400      2.19e+00    3.41e+00      2.11e-01    2.13e-01      6.92e-02    1.08e-01    1.0e-03
   2500      2.63e+00    2.43e+00      7.57e-02    7.45e-02      8.30e-02    7.69e-02    1.0e-03
   2600      3.49e+00    5.20e+00      3.60e-02    3.63e-02      1.10e-01    1.64e-01    1.0e-03
   2700      3.35e+00    3.01e+00      1.10e-01    1.09e-01      1.06e-01    9.51e-02    1.0e-03
   2800      4.56e+00    4.31e+00      6.12e-02    6.44e-02      1.44e-01    1.36e-01    1.0e-03
   2900      3.40e+00    2.35e+00      1.02e-01    9.93e-02      1.07e-01    7.42e-02    1.0e-03
   3000      5.10e+00    6.04e+00      4.86e-03    4.64e-03      1.61e-01    1.91e-01    1.0e-03
   3100      3.72e+00    1.71e+00      8.29e-02    8.15e-02      1.17e-01    5.42e-02    1.0e-03
   3200      4.71e+00    3.64e+00      3.05e-01    3.05e-01      1.49e-01    1.15e-01    1.0e-03
   3300      3.27e+00    5.56e+00      7.84e-02    8.05e-02      1.03e-01    1.76e-01    1.0e-03
   3400      5.00e+00    6.53e+00      2.00e-01    2.01e-01      1.58e-01    2.06e-01    1.0e-03
   3500      4.21e+00    4.00e+00      3.45e-02    3.61e-02      1.33e-01    1.27e-01    1.0e-03
   3600      3.81e+00    3.46e+00      5.38e-02    5.23e-02      1.21e-01    1.09e-01    1.0e-03
   3700      2.81e+00    2.57e+00      2.81e-01    2.81e-01      8.87e-02    8.12e-02    1.0e-03
   3800      3.88e+00    2.23e+00      7.37e-02    7.59e-02      1.23e-01    7.06e-02    1.0e-03
   3900      7.81e+00    7.73e+00      2.17e-01    2.18e-01      2.47e-01    2.45e-01    1.0e-03
   4000      3.00e+00    1.85e+00      5.82e-02    5.86e-02      9.50e-02    5.86e-02    1.0e-03
   4100      1.72e+00    4.51e+00      1.65e-01    1.66e-01      5.44e-02    1.42e-01    1.0e-03
   4200      3.33e+00    3.22e+00      5.84e-02    5.88e-02      1.05e-01    1.02e-01    1.0e-03
   4300      4.85e+00    3.15e+00      2.99e-01    2.99e-01      1.53e-01    9.96e-02    1.0e-03
   4400      3.40e+00    4.62e+00      4.56e-03    3.99e-03      1.08e-01    1.46e-01    1.0e-03
   4500      1.68e+00    2.08e+00      3.77e-02    3.75e-02      5.32e-02    6.59e-02    1.0e-03
   4600      3.68e+00    2.80e+00      6.25e-02    6.29e-02      1.16e-01    8.85e-02    1.0e-03
   4700      3.64e+00    2.48e+00      6.28e-03    6.35e-03      1.15e-01    7.84e-02    1.0e-03
   4800      6.47e+00    6.87e+00      1.85e-01    1.85e-01      2.05e-01    2.17e-01    1.0e-03
   4900      2.37e+00    2.72e+00      1.22e-01    1.21e-01      7.50e-02    8.60e-02    1.0e-03
   5000      3.33e+00    3.63e+00      6.83e-02    6.86e-02      1.08e-01    1.18e-01    9.5e-04
   5100      3.27e+00    3.96e+00      4.32e-02    4.33e-02      1.06e-01    1.29e-01    9.5e-04
   5200      3.42e+00    2.43e+00      4.98e-02    5.07e-02      1.11e-01    7.89e-02    9.5e-04
   5300      2.81e+00    2.41e+00      2.59e-02    2.57e-02      9.12e-02    7.83e-02    9.5e-04
   5400      4.79e+00    3.97e+00      9.80e-02    1.01e-01      1.55e-01    1.29e-01    9.5e-04
   5500      2.74e+00    2.65e+00      9.14e-02    9.14e-02      8.90e-02    8.60e-02    9.5e-04
   5600      3.92e+00    2.13e+00      1.22e-01    1.23e-01      1.27e-01    6.92e-02    9.5e-04
   5700      4.67e+00    3.50e+00      3.28e-02    3.35e-02      1.52e-01    1.14e-01    9.5e-04
   5800      3.88e+00    3.39e+00      1.30e-01    1.30e-01      1.26e-01    1.10e-01    9.5e-04
   5900      1.69e+00    3.37e+00      2.83e-02    2.79e-02      5.48e-02    1.09e-01    9.5e-04
   6000      4.63e+00    5.36e+00      5.23e-02    5.04e-02      1.50e-01    1.74e-01    9.5e-04
   6100      1.21e+00    2.14e+00      7.01e-03    7.45e-03      3.92e-02    6.94e-02    9.5e-04
   6200      1.98e+00    1.74e+00      6.42e-02    6.40e-02      6.41e-02    5.65e-02    9.5e-04
   6300      3.65e+00    3.40e+00      1.51e-02    1.54e-02      1.18e-01    1.10e-01    9.5e-04
   6400      3.55e+00    3.15e+00      1.45e-01    1.44e-01      1.15e-01    1.02e-01    9.5e-04
   6500      2.86e+00    2.72e+00      1.88e-02    1.81e-02      9.28e-02    8.84e-02    9.5e-04
   6600      2.04e+00    3.50e+00      2.29e-02    2.15e-02      6.62e-02    1.13e-01    9.5e-04
   6700      2.07e+00    2.16e+00      5.14e-02    5.13e-02      6.72e-02    6.99e-02    9.5e-04
   6800      2.78e+00    4.32e+00      6.55e-03    8.03e-03      9.03e-02    1.40e-01    9.5e-04
   6900      2.59e+00    2.83e+00      2.87e-02    2.84e-02      8.41e-02    9.17e-02    9.5e-04
   7000      1.87e+00    1.72e+00      6.54e-02    6.56e-02      6.05e-02    5.57e-02    9.5e-04
   7100      3.74e+00    4.11e+00      1.59e-01    1.59e-01      1.21e-01    1.33e-01    9.5e-04
   7200      2.30e+00    2.39e+00      6.01e-02    5.97e-02      7.47e-02    7.74e-02    9.5e-04
