#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.52e+01    3.19e+01      3.93e-01    3.49e-01      4.79e-01    1.01e+00    1.0e-03
    100      8.85e+00    1.72e+01      8.75e-01    8.83e-01      2.80e-01    5.43e-01    1.0e-03
    200      7.88e+00    8.56e+00      3.32e-01    3.30e-01      2.49e-01    2.71e-01    1.0e-03
    300      1.43e+01    1.07e+01      7.87e-02    6.23e-02      4.51e-01    3.37e-01    1.0e-03
    400      1.00e+01    1.54e+01      7.32e-02    4.36e-02      3.17e-01    4.87e-01    1.0e-03
    500      7.90e+00    1.43e+01      1.54e-01    1.09e-01      2.50e-01    4.52e-01    1.0e-03
    600      1.45e+01    9.30e+00      3.42e-01    3.69e-01      4.59e-01    2.94e-01    1.0e-03
    700      1.40e+01    9.84e+00      2.45e-01    2.81e-01      4.42e-01    3.11e-01    1.0e-03
    800      1.04e+01    1.39e+01      3.01e-01    2.59e-01      3.28e-01    4.38e-01    1.0e-03
    900      7.40e+00    6.25e+00      1.08e-01    1.08e-01      2.34e-01    1.98e-01    1.0e-03
   1000      1.02e+01    1.13e+01      2.25e-02    2.89e-02      3.22e-01    3.59e-01    1.0e-03
   1100      7.68e+00    6.18e+00      2.13e-01    2.20e-01      2.43e-01    1.95e-01    1.0e-03
   1200      7.60e+00    9.98e+00      1.70e-01    1.78e-01      2.40e-01    3.15e-01    1.0e-03
   1300      7.43e+00    6.46e+00      3.26e-01    3.22e-01      2.35e-01    2.04e-01    1.0e-03
   1400      5.81e+00    1.24e+01      2.75e-03    2.73e-02      1.84e-01    3.91e-01    1.0e-03
   1500      7.17e+00    9.70e+00      9.27e-02    9.02e-02      2.27e-01    3.07e-01    1.0e-03
   1600      6.41e+00    6.09e+00      1.38e-01    1.45e-01      2.03e-01    1.93e-01    1.0e-03
   1700      7.23e+00    3.13e+00      1.40e-01    1.29e-01      2.29e-01    9.91e-02    1.0e-03
   1800      8.01e+00    7.67e+00      2.83e-01    2.82e-01      2.53e-01    2.42e-01    1.0e-03
   1900      4.88e+00    4.88e+00      6.23e-02    6.20e-02      1.54e-01    1.54e-01    1.0e-03
   2000      7.56e+00    7.28e+00      3.10e-02    2.93e-02      2.39e-01    2.30e-01    1.0e-03
   2100      8.51e+00    9.79e+00      1.64e-01    1.67e-01      2.69e-01    3.10e-01    1.0e-03
   2200      7.76e+00    8.81e+00      5.22e-02    4.66e-02      2.45e-01    2.79e-01    1.0e-03
   2300      4.78e+00    6.54e+00      2.99e-01    2.98e-01      1.51e-01    2.07e-01    1.0e-03
   2400      7.32e+00    4.88e+00      6.42e-02    6.94e-02      2.31e-01    1.54e-01    1.0e-03
   2500      4.38e+00    3.08e+00      2.01e-01    2.01e-01      1.39e-01    9.74e-02    1.0e-03
   2600      1.45e+01    1.04e+01      1.77e-01    1.54e-01      4.57e-01    3.28e-01    1.0e-03
   2700      6.19e+00    1.08e+01      1.23e-02    1.57e-02      1.96e-01    3.41e-01    1.0e-03
   2800      5.56e+00    4.69e+00      2.49e-01    2.49e-01      1.76e-01    1.48e-01    1.0e-03
   2900      1.23e+01    8.46e+00      2.69e-01    2.55e-01      3.89e-01    2.68e-01    1.0e-03
   3000      6.02e+00    6.77e+00      1.38e-01    1.38e-01      1.90e-01    2.14e-01    1.0e-03
   3100      5.19e+00    5.45e+00      2.16e-01    2.16e-01      1.64e-01    1.72e-01    1.0e-03
   3200      1.14e+01    7.82e+00      5.19e-01    5.11e-01      3.59e-01    2.47e-01    1.0e-03
   3300      6.52e+00    5.48e+00      1.24e-02    1.17e-02      2.06e-01    1.73e-01    1.0e-03
   3400      8.19e+00    9.70e+00      9.39e-02    9.43e-02      2.59e-01    3.07e-01    1.0e-03
   3500      4.24e+00    4.00e+00      1.43e-01    1.42e-01      1.34e-01    1.26e-01    1.0e-03
   3600      9.76e+00    5.89e+00      6.22e-02    6.20e-02      3.09e-01    1.86e-01    1.0e-03
   3700      3.79e+00    3.87e+00      4.39e-01    4.40e-01      1.20e-01    1.22e-01    1.0e-03
   3800      2.76e+00    3.67e+00      5.12e-03    3.65e-03      8.73e-02    1.16e-01    1.0e-03
   3900      6.63e+00    6.59e+00      7.31e-02    7.35e-02      2.10e-01    2.08e-01    1.0e-03
   4000      9.74e+00    6.33e+00      9.31e-03    6.02e-03      3.08e-01    2.00e-01    1.0e-03
   4100      4.43e+00    4.72e+00      4.86e-01    4.84e-01      1.40e-01    1.49e-01    1.0e-03
   4200      6.59e+00    5.60e+00      7.36e-02    7.28e-02      2.08e-01    1.77e-01    1.0e-03
   4300      4.37e+00    9.54e+00      2.33e-01    2.46e-01      1.38e-01    3.02e-01    1.0e-03
   4400      7.59e+00    8.01e+00      2.46e-01    2.45e-01      2.40e-01    2.53e-01    1.0e-03
   4500      4.93e+00    5.54e+00      2.27e-01    2.24e-01      1.56e-01    1.75e-01    1.0e-03
   4600      7.43e+00    8.36e+00      2.47e-01    2.45e-01      2.35e-01    2.64e-01    1.0e-03
   4700      5.19e+00    4.26e+00      8.85e-02    9.22e-02      1.64e-01    1.35e-01    1.0e-03
   4800      5.11e+00    1.03e+01      3.20e-02    5.44e-02      1.62e-01    3.25e-01    1.0e-03
   4900      6.32e+00    4.70e+00      9.19e-02    9.20e-02      2.00e-01    1.49e-01    1.0e-03
   5000      4.93e+00    8.75e+00      2.65e-01    2.69e-01      1.60e-01    2.84e-01    9.5e-04
   5100      4.46e+00    3.76e+00      2.30e-02    2.12e-02      1.45e-01    1.22e-01    9.5e-04
   5200      6.34e+00    7.55e+00      4.76e-02    4.55e-02      2.06e-01    2.45e-01    9.5e-04
   5300      3.32e+00    4.69e+00      9.49e-02    9.51e-02      1.08e-01    1.52e-01    9.5e-04
   5400      3.49e+00    4.54e+00      1.39e-01    1.39e-01      1.13e-01    1.47e-01    9.5e-04
   5500      8.25e+00    6.16e+00      2.96e-01    2.78e-01      2.68e-01    2.00e-01    9.5e-04
   5600      4.12e+00    7.90e+00      1.66e-01    1.58e-01      1.34e-01    2.56e-01    9.5e-04
   5700      4.96e+00    4.31e+00      2.06e-01    2.08e-01      1.61e-01    1.40e-01    9.5e-04
   5800      3.13e+00    3.60e+00      3.09e-01    3.10e-01      1.01e-01    1.17e-01    9.5e-04
   5900      1.07e+01    1.04e+01      9.53e-02    9.75e-02      3.46e-01    3.36e-01    9.5e-04
   6000      9.50e+00    6.50e+00      6.55e-02    7.41e-02      3.08e-01    2.11e-01    9.5e-04
   6100      6.93e+00    4.79e+00      6.32e-01    6.29e-01      2.24e-01    1.55e-01    9.5e-04
   6200      4.21e+00    3.59e+00      9.80e-02    9.49e-02      1.37e-01    1.16e-01    9.5e-04
   6300      8.02e+00    4.00e+00      1.01e-01    9.48e-02      2.60e-01    1.30e-01    9.5e-04
   6400      5.56e+00    6.91e+00      1.58e-01    1.55e-01      1.80e-01    2.24e-01    9.5e-04
   6500      5.61e+00    4.34e+00      3.41e-02    3.14e-02      1.82e-01    1.41e-01    9.5e-04
   6600      3.99e+00    6.85e+00      4.89e-02    4.61e-02      1.29e-01    2.22e-01    9.5e-04
   6700      4.72e+00    8.33e+00      9.98e-02    9.21e-02      1.53e-01    2.70e-01    9.5e-04
   6800      6.71e+00    4.72e+00      5.87e-01    5.80e-01      2.17e-01    1.53e-01    9.5e-04
